Date,Close,compound,negative,neutral,positive,Open,High,Low,Volume,Subjectivity,Polarity
2015-09-25,92.77,0.9978,0.043,0.845,0.113,95.79,95.85,92.06,28910510,0.5194750607579554,0.17384559884559894
2015-09-28,89.21,0.9726,0.02,0.923,0.057,92.08,92.29,88.18,41060880,0.48245933359569676,0.1920339761248853
2015-09-29,86.67,0.9664,0.071,0.835,0.094,89.1,90.06,85.72,42212360,0.4710768398268398,0.10819805194805195
2015-09-30,89.9,0.996,0.013,0.885,0.102,88.44,90.02,88.01,36113040,0.3462585034013606,0.19850932797361368
2015-10-01,90.95,0.907,0.069,0.797,0.134,90.05,90.95,88.36,29219020,0.4042424242424243,0.26060606060606056
2015-10-02,92.07,0.9972,0.029,0.864,0.107,88.9,92.2,88.37,37672130,0.3970585161964473,0.17916927899686522
2015-10-05,94.01,0.1531,0.096,0.796,0.108,92.94,94.27,92.66,27258120,0.5,0.0
2015-10-06,92.8,0.9802,0.041,0.881,0.078,94.08,94.17,92.34,22459730,0.43563259321323844,0.09710724759111855
2015-10-07,92.4,0.9506,0.068,0.838,0.094,93.11,93.66,91.37,24094490,0.36049860305179454,0.06838598753492371
2015-10-08,92.47,0.928,0.028,0.912,0.06,91.89,93.22,90.47,27237050,0.42737064522778806,0.08136853226138939
2015-10-09,93.24,0.9961,0.061,0.824,0.115,92.9,93.74,92.239,19979290,0.48057823129251703,0.10928571428571435
2015-10-12,94.26,0.997,0.035,0.832,0.133,93.32,94.6,92.67,18396970,0.4644802365390599,0.1679952536570183
2015-10-13,94.12,-0.9929,0.141,0.789,0.07,93.66,95.37,93.55,19406320,0.48331721470019345,0.0968568665377176
2015-10-14,94.07,0.9855,0.05,0.851,0.099,94.08,95.2,93.61,19197310,0.46243427304402923,0.2174226586421709
2015-10-15,95.96,0.989,0.013,0.899,0.088,94.99,96.3,94.9,27499010,0.3627371403106698,0.1240784950343774
2015-10-16,97.54,0.9307,0.057,0.862,0.081,96.18,97.59,95.35,25370980,0.4524754346182919,0.09264928193499622
2015-10-19,98.47,0.9856,0.029,0.897,0.074,97.18,98.57,96.92,23605470,0.47304439746300225,0.174154334038055
2015-10-20,97.0,0.9945,0.041,0.862,0.096,98.73,99.59,96.56,30824330,0.3890818903318903,0.15135642135642133
2015-10-21,97.11,0.9894,0.043,0.862,0.095,97.37,98.18,96.47,21971730,0.3794612794612795,0.14743265993265992
2015-10-22,99.67,0.9968,0.045,0.78,0.175,97.79,99.73,97.55,25971110,0.4784152500615915,0.1418545208179355
2015-10-23,102.19,0.9969,0.04,0.833,0.127,101.91,102.85,100.16,42754060,0.41258346173600396,0.1432423508694695
2015-10-26,103.77,0.8345,0.071,0.855,0.073,102.2,103.81,101.55,25912180,0.4032688588007736,0.09260477111540943
2015-10-27,103.7,0.8103,0.063,0.867,0.07,102.94,104.1,102.4,23741160,0.4346215890245741,0.10744308759234135
2015-10-28,104.2,0.997,0.033,0.856,0.111,103.9,104.48,102.92,24053690,0.48693181818181824,0.20565419823232323
2015-10-29,104.88,0.9976,0.032,0.849,0.119,103.96,105.12,103.52,20157920,0.42297880768469004,0.17510497128144195
2015-10-30,101.97,0.9959,0.031,0.842,0.127,104.51,104.72,101.65,33436740,0.4957047216349542,0.15610288935870328
2015-11-02,103.31,0.999,0.023,0.837,0.14,102.46,103.47,101.18,23972130,0.4563146544813211,0.22492993426326768
2015-11-03,102.58,0.9391,0.044,0.894,0.062,103.22,103.65,102.4,21178920,0.3635920090838123,0.08865410545738414
2015-11-04,103.94,0.9761,0.024,0.854,0.122,103.19,104.14,102.48,41832160,0.395409982174688,0.21671122994652403
2015-11-05,108.76,0.9907,0.024,0.893,0.083,108.8,110.65,107.95,63142550,0.36967335694608433,0.07619637937819757
2015-11-06,107.095,0.9864,0.063,0.831,0.106,108.04,108.74,105.91,35046680,0.3492934738217757,0.13751939884015357
2015-11-09,106.49,0.992,0.023,0.879,0.098,107.0,108.25,105.86,26354740,0.4294897022169749,0.2251762757444575
2015-11-10,107.91,0.9661,0.033,0.776,0.191,105.96,108.15,105.24,24999520,0.4767676767676768,0.10823863636363636
2015-11-11,109.01,0.997,0.026,0.87,0.104,108.27,109.87,107.11,25023690,0.48898496240601513,0.23160818713450293
2015-11-12,108.02,0.9625,0.02,0.874,0.106,108.48,109.39,108.0,20852000,0.3875291375291375,0.22843822843822845
2015-11-13,103.95,0.9829,0.046,0.852,0.101,107.71,108.25,103.83,30161510,0.45154263725692295,0.20446127946127954
2015-11-16,104.04,0.9968,0.063,0.788,0.149,103.32,104.17,100.47,49256510,0.3564148841354723,0.06538770053475931
2015-11-17,105.13,0.9981,0.038,0.827,0.134,104.62,106.2,104.14,26774350,0.4274833274833273,0.1060849810849811
2015-11-18,107.77,0.9978,0.05,0.813,0.137,105.8,107.88,105.39,23797450,0.47023809523809496,0.12642721861471864
